epoch,train_loss,val_loss,train_reg,val_reg,train_edge,val_edge,train_tv,val_tv,lr
38,0.017570,0.010854,0.015700,0.010178,0.009353,0.003383,0.003099,0.003023,5.00000000e-05
39,0.017246,0.010871,0.016003,0.010330,0.006215,0.002707,0.003045,0.003150,5.00000000e-05
40,0.017868,0.010849,0.015779,0.009992,0.010441,0.004284,0.003484,0.002925,5.00000000e-05
41,0.017141,0.010840,0.015715,0.010355,0.007130,0.002421,0.003129,0.002972,2.50000000e-05
42,0.017853,0.010847,0.016478,0.010411,0.006874,0.002178,0.002947,0.003118,2.50000000e-05
43,0.017636,0.010945,0.016075,0.010608,0.007806,0.001682,0.003056,0.003272,2.50000000e-05
44,0.016894,0.010799,0.015441,0.010056,0.007265,0.003715,0.003334,0.003353,2.50000000e-05
45,0.017455,0.010833,0.015914,0.010325,0.007705,0.002538,0.003559,0.003449,2.50000000e-05
46,0.017981,0.011044,0.015442,0.010749,0.012693,0.001478,0.003456,0.003439,2.50000000e-05
47,0.017039,0.010800,0.015410,0.010173,0.008145,0.003134,0.003246,0.002999,2.50000000e-05
48,0.017223,0.010750,0.015881,0.010119,0.006712,0.003153,0.002914,0.003034,2.50000000e-05
49,0.016968,0.010814,0.015463,0.010394,0.007524,0.002103,0.003248,0.003250,2.50000000e-05
50,0.017026,0.010715,0.015610,0.010079,0.007078,0.003184,0.003428,0.003435,2.50000000e-05
51,0.018286,0.010735,0.015459,0.010143,0.014136,0.002961,0.003605,0.003127,2.50000000e-05
52,0.018079,0.010781,0.016524,0.010115,0.007775,0.003328,0.002938,0.002821,2.50000000e-05
53,0.017361,0.010992,0.015515,0.010696,0.009232,0.001482,0.002968,0.003146,2.50000000e-05
54,0.017031,0.010787,0.015417,0.010276,0.008071,0.002553,0.003220,0.003025,1.25000000e-05
55,0.017219,0.010715,0.015914,0.010145,0.006525,0.002848,0.002978,0.003168,1.25000000e-05
56,0.018201,0.010796,0.016339,0.010378,0.009313,0.002091,0.003236,0.003250,1.25000000e-05
57,0.016961,0.010711,0.015342,0.010162,0.008095,0.002741,0.003242,0.003281,1.25000000e-05
58,0.017303,0.010749,0.015836,0.010299,0.007338,0.002253,0.003228,0.003303,1.25000000e-05
59,0.017678,0.010726,0.015925,0.010238,0.008765,0.002439,0.003183,0.003406,1.25000000e-05
60,0.016995,0.010743,0.015515,0.010289,0.007398,0.002269,0.003600,0.003470,1.25000000e-05
61,0.017463,0.010681,0.015932,0.010128,0.007656,0.002766,0.003384,0.003421,1.25000000e-05
62,0.017241,0.010733,0.015827,0.010263,0.007072,0.002350,0.003305,0.003533,1.25000000e-05
63,0.017560,0.010713,0.015645,0.010225,0.009574,0.002439,0.003432,0.003527,1.25000000e-05
64,0.017836,0.010756,0.015524,0.010335,0.011557,0.002102,0.003660,0.003330,1.25000000e-05
65,0.017575,0.010647,0.015858,0.010007,0.008582,0.003199,0.003217,0.003241,1.25000000e-05
66,0.016906,0.010684,0.015559,0.010181,0.006736,0.002512,0.003223,0.003324,1.25000000e-05
67,0.017050,0.010648,0.015493,0.010111,0.007787,0.002685,0.003528,0.003369,1.25000000e-05
68,0.016880,0.010641,0.015292,0.010114,0.007940,0.002637,0.003502,0.003413,1.25000000e-05
69,0.016970,0.010632,0.015137,0.010109,0.009164,0.002618,0.003489,0.003553,1.25000000e-05
70,0.017761,0.010726,0.015700,0.010291,0.010305,0.002173,0.003605,0.003333,1.25000000e-05
71,0.017627,0.010646,0.015643,0.009980,0.009920,0.003330,0.003211,0.003289,1.25000000e-05
72,0.017598,0.010752,0.015892,0.010316,0.008528,0.002183,0.003272,0.003215,1.25000000e-05
73,0.017643,0.010682,0.015861,0.010127,0.008906,0.002775,0.003111,0.003231,6.25000000e-06
74,0.018192,0.010719,0.016125,0.010231,0.010334,0.002443,0.003219,0.003197,6.25000000e-06
75,0.017175,0.010680,0.015768,0.010133,0.007034,0.002732,0.003471,0.003242,6.25000000e-06
76,0.017138,0.010700,0.015175,0.010212,0.009818,0.002439,0.003368,0.003285,6.25000000e-06
77,0.017704,0.010692,0.015894,0.010187,0.009052,0.002527,0.003231,0.003261,3.12500000e-06
78,0.017207,0.010693,0.015685,0.010188,0.007608,0.002523,0.003230,0.003268,3.12500000e-06
1,0.032279,0.018854,0.013840,0.008746,0.092193,0.050539,0.000231,0.000434,9.99755747e-05
2,0.023731,0.013995,0.020752,0.012034,0.014894,0.009802,0.000580,0.000564,9.99023231e-05
3,0.021936,0.013390,0.020797,0.012206,0.005693,0.005923,0.000647,0.000727,9.97803172e-05
4,0.021146,0.012933,0.020210,0.012597,0.004682,0.001676,0.000820,0.000924,9.96096777e-05
5,0.020860,0.012981,0.019711,0.012694,0.005745,0.001431,0.001115,0.001166,9.93905729e-05
6,0.020996,0.012462,0.019962,0.012210,0.005170,0.001264,0.001077,0.001185,9.91232189e-05
7,0.019949,0.012146,0.018305,0.011203,0.008219,0.004715,0.001533,0.001410,9.88078797e-05
8,0.019779,0.012063,0.018396,0.010964,0.006915,0.005496,0.001666,0.001844,9.84448665e-05
1,0.038112,0.025150,0.013440,0.007121,0.123371,0.090134,0.000174,0.000284,9.99755747e-05
2,0.026098,0.015464,0.016774,0.015447,0.046613,0.000081,0.000459,0.000854,9.99023231e-05
3,0.023090,0.013908,0.021164,0.012146,0.009631,0.008808,0.000828,0.000911,9.97803172e-05
4,0.020916,0.013106,0.019851,0.011977,0.005324,0.005649,0.000973,0.001129,9.96096777e-05
5,0.019845,0.012698,0.018708,0.011990,0.005688,0.003542,0.001360,0.001600,9.93905729e-05
6,0.019300,0.012381,0.018121,0.010733,0.005895,0.008238,0.001759,0.001932,9.91232189e-05
7,0.018696,0.012127,0.016800,0.011614,0.009481,0.002565,0.002190,0.002152,9.88078797e-05
8,0.018170,0.011929,0.016743,0.011517,0.007135,0.002060,0.002356,0.002141,9.84448665e-05
9,0.018599,0.011755,0.016873,0.011030,0.008632,0.003623,0.002361,0.001659,9.80345374e-05
10,0.019069,0.011603,0.017366,0.011038,0.008512,0.002826,0.002250,0.002123,9.75772976e-05
11,0.018187,0.011559,0.017150,0.010914,0.005187,0.003225,0.002304,0.002584,9.70735981e-05
12,0.017699,0.011514,0.016370,0.010156,0.006643,0.006793,0.002883,0.002946,9.65239361e-05
13,0.019337,0.011404,0.017037,0.010198,0.011499,0.006032,0.002889,0.002134,9.59288540e-05
14,0.018401,0.011430,0.016910,0.010593,0.007453,0.004184,0.002492,0.003086,9.52889391e-05
15,0.018025,0.011208,0.016180,0.010211,0.009224,0.004983,0.003141,0.002710,9.46048229e-05
16,0.017375,0.011163,0.015835,0.010501,0.007700,0.003307,0.002847,0.003029,9.38771807e-05
17,0.017135,0.011129,0.015558,0.010652,0.007887,0.002383,0.003184,0.002818,9.31067303e-05
18,0.018370,0.011472,0.016334,0.011257,0.010181,0.001077,0.003043,0.002735,9.22942323e-05
19,0.017371,0.011209,0.015847,0.010763,0.007620,0.002230,0.002839,0.003287,9.14404884e-05
20,0.017481,0.011302,0.015778,0.010878,0.008513,0.002117,0.003614,0.003508,9.05463412e-05
21,0.017471,0.010996,0.016223,0.010456,0.006238,0.002700,0.003165,0.003345,8.96126731e-05
22,0.017311,0.010950,0.015427,0.010432,0.009421,0.002592,0.003567,0.003179,8.86404055e-05
23,0.017173,0.010879,0.015755,0.010146,0.007093,0.003663,0.002930,0.003002,8.76304979e-05
24,0.017597,0.010872,0.015834,0.010247,0.008818,0.003124,0.003334,0.003778,8.65839471e-05
25,0.017811,0.010859,0.015966,0.010206,0.009225,0.003266,0.003258,0.003146,8.55017857e-05
